link,model,generation,engine,start_of_production,end_of_production,powertrain_architecture,body_type,seats,doors,fuel_consumption-extra_urban,fuel_consumption-combined,fuel_type,acceleration_0-100km/h,acceleration_0-62mph,acceleration_0-60mph,acceleration_0-200km/h,maximum_speed,100-0km/h,emission_standard,weight-to-power_ratio,weight-to-torque_ratio,power,power_per_litre,torque,maximum_engine_speed,engine_layout,engine_displacement,number_of_cylinders,engine_configuration,cylinder_bore,piston_stroke,compression_ratio,number_of_valves_per_cylinder,fuel_injection_system,engine_aspiration,valvetrain,kerb_weight,trunk_space-minimum,fuel_tank_capacity,length,width_including_mirrors,height,wheelbase,ride_height,drag_coefficient,turning_diameter,drivetrain_architecture,drive_wheel,number_of_gears_and_type_of_gearbox,front_suspension,rear_suspension,front_brakes,rear_brakes,assisting_systems,steering_type,power_steering,tires_size,width
https://www.auto-data.net/en/koenigsegg-agera-s-5.0-v8-1030hp-automatic-25372,Agera,Agera,S 5.0 V8 (1030 Hp) Automatic ,2013,2014.0,Internal Combustion engine ,Targa ,2,2,12.5,14.7,Petrol (Gasoline) ,2.9,2.9,2.8,7.9,420.0,30.5,Euro 5 ,"1.4 kg/Hp, 727.9 Hp/tonne ","1.3 kg/Nm, 777.4 Nm/tonne ",1030 Hp @ 7100 rpm. ,204.7,1100 Nm @ 4100 rpm.,8250 rpm. ,"Middle, Longitudinal ",5032.0,8,V-engine ,91.7,95.25,9.0,4.0,Multi-point indirect injection ,"Twin-Turbo, Intercooler ",DOHC ,1415.0,120.0,80.0,4293.0,1996.0,1120.0,2662.0,100 mm,0.33-0.37 ,11.0,The Internal combustion engine (ICE) drives the rear wheels of the vehicle. ,Rear wheel drive ,"7 gears, automatic transmission ",Double wishbone ,Double wishbone ,Ventilated discs ,Ventilated discs ,ABS (Anti-lock braking system) ,Steering rack and pinion ,Electric Steering ,265/35 R19; 345/30 R20 ,
https://www.auto-data.net/en/koenigsegg-agera-rs-5.0-v8-1160hp-automatic-25184,Agera,Agera,RS 5.0 V8 (1160 Hp) Automatic ,2015,2016.0,Internal Combustion engine ,Targa ,2,2,,,Petrol (Gasoline) ,,,,,443.0,,,"1.2 kg/Hp, 831.5 Hp/tonne ","1.1 kg/Nm, 917.6 Nm/tonne ",1160 Hp @ 7800 rpm. ,229.0,1280 Nm @ 4100 rpm.,8250 rpm. ,"Middle, Longitudinal ",5065.0,8,V-engine ,92.0,95.25,9.3,4.0,Multi-point indirect injection ,"Twin-Turbo, Intercooler ",DOHC ,1395.0,150.0,82.0,4293.0,2050.0,1120.0,2662.0,85 mm,,11.0,The Internal combustion engine (ICE) drives the rear wheels of the vehicle. ,Rear wheel drive ,"7 gears, automatic transmission ",Double wishbone ,Double wishbone ,Ventilated discs ,Ventilated discs ,ABS (Anti-lock braking system) ,Steering rack and pinion ,Electric Steering ,265/35 R19; 345/30 R20 ,
https://www.auto-data.net/en/koenigsegg-agera-r-5.0-v8-1140hp-automatic-25735,Agera,Agera,R 5.0 V8 (1140 Hp) Automatic ,2013,2014.0,Internal Combustion engine ,Targa ,2,2,12.5,14.7,Petrol (Gasoline) ,2.8,2.8,,7.8,420.0,30.5,Euro 5 ,"1.3 kg/Hp, 794.4 Hp/tonne ","1.2 kg/Nm, 836.2 Nm/tonne ",1140 Hp @ 7100 rpm. ,226.6,1200 Nm @ 4100 rpm.,7500 rpm. ,"Middle, Longitudinal ",5032.0,8,V-engine ,91.7,95.25,9.0,4.0,Multi-point indirect injection ,"Twin-Turbo, Intercooler ",DOHC ,1435.0,120.0,80.0,4293.0,1996.0,1120.0,2662.0,100 mm,0.33-0.37 ,11.0,The Internal combustion engine (ICE) drives the rear wheels of the vehicle. ,Rear wheel drive ,"7 gears, automatic transmission ",Double wishbone ,Double wishbone ,Ventilated discs ,Ventilated discs ,ABS (Anti-lock braking system) ,Steering rack and pinion ,Electric Steering ,265/35 R19; 345/30 R20 ,
https://www.auto-data.net/en/koenigsegg-agera-5.0-v8-960hp-automatic-25298,Agera,Agera,5.0 V8 (960 Hp) Automatic ,2010,2018.0,Internal Combustion engine ,Targa ,2,2,12.5,14.7,Petrol (Gasoline) ,3.0,3.0,,8.0,420.0,30.5,Euro 5 ,"1.5 kg/Hp, 669 Hp/tonne ","1.3 kg/Nm, 766.6 Nm/tonne ",960 Hp @ 7100 rpm. ,190.8,1100 Nm @ 4000 rpm.,7500 rpm. ,"Middle, Longitudinal ",5032.0,8,V-engine ,91.7,95.25,9.0,4.0,Multi-point indirect injection ,"Twin-Turbo, Intercooler ",DOHC ,1435.0,120.0,80.0,4293.0,1996.0,1120.0,2662.0,100 mm,0.33-0.37 ,11.0,The Internal combustion engine (ICE) drives the rear wheels of the vehicle. ,Rear wheel drive ,"7 gears, automatic transmission ",Double wishbone ,Double wishbone ,Ventilated discs ,Ventilated discs ,ABS (Anti-lock braking system) ,Steering rack and pinion ,Electric Steering ,265/35 R19; 345/30 R20 ,
https://www.auto-data.net/en/koenigsegg-ccgt-5.0-v8-600hp-25774,CC,CCGT,5.0 V8 (600 Hp) ,2007,2010.0,Internal Combustion engine ,Coupe ,2,2,,,Petrol (Gasoline) ,3.2,3.2,3.0,9.8,395.0,32.0,,"1.8 kg/Hp, 545.5 Hp/tonne ","1.2 kg/Nm, 836.4 Nm/tonne ",600 Hp ,120.0,920 Nm @ 5500 rpm.,,"Rear, Longitudinal ",5000.0,8,V-engine ,,,,4.0,Multi-point indirect injection ,"Twin-Turbo, Intercooler ",DOHC ,1100.0,,100.0,4293.0,1996.0,1030.0,,50 mm,,,The Internal combustion engine (ICE) drives the rear wheels of the vehicle. ,Rear wheel drive ,"6 gears, manual transmission ",Double wishbone ,Double wishbone ,Ventilated discs ,Ventilated discs ,ABS (Anti-lock braking system) ,Steering rack and pinion ,Electric Steering ,,
https://www.auto-data.net/en/koenigsegg-ccx-r-4.8-v8-1032hp-trevita-ethanol-25339,CC,CCX,R 4.8 V8 (1032 Hp) Trevita Ethanol ,2010,2010.0,Internal Combustion engine ,Targa ,2,2,18.0,22.0,Petrol / Ethanol - E85 ,2.9,2.9,2.8,8.75,410.0,32.0,Euro 4 ,"1.2 kg/Hp, 806.3 Hp/tonne ","1.2 kg/Nm, 843.8 Nm/tonne ",1032 Hp @ 7000 rpm. ,215.0,1080 Nm @ 5600 rpm.,,"Rear, Longitudinal ",4800.0,8,V-engine ,,,9.2,4.0,Multi-point indirect injection ,"Twin-Turbo, Intercooler ",DOHC ,1280.0,120.0,70.0,4293.0,1996.0,1114.0,,100 mm,0.36 ,11.0,The Internal combustion engine (ICE) drives the rear wheels of the vehicle. ,Rear wheel drive ,"6 gears, manual transmission ",Double wishbone ,Double wishbone ,Ventilated discs ,Ventilated discs ,ABS (Anti-lock braking system) ,Steering rack and pinion ,Electric Steering ,255/35 R19; 335/30 R20 ,
https://www.auto-data.net/en/koenigsegg-ccx-r-4.8-v8-1032hp-special-edition-ethanol-25728,CC,CCX,R 4.8 V8 (1032 Hp) Special Edition Ethanol ,2007,2010.0,Internal Combustion engine ,Targa ,2,2,18.0,22.0,Petrol / Ethanol - E85 ,2.9,2.9,2.8,8.75,400.0,32.0,Euro 4 ,"1.3 kg/Hp, 775.9 Hp/tonne ","1.2 kg/Nm, 812 Nm/tonne ",1032 Hp @ 7000 rpm. ,215.0,1080 Nm @ 5600 rpm.,,"Rear, Longitudinal ",4800.0,8,V-engine ,,,9.2,4.0,Multi-point indirect injection ,"Twin-Turbo, Intercooler ",DOHC ,1330.0,120.0,70.0,4293.0,1996.0,1114.0,,100 mm,0.36 ,11.0,The Internal combustion engine (ICE) drives the rear wheels of the vehicle. ,Rear wheel drive ,"6 gears, manual transmission ",Double wishbone ,Double wishbone ,Ventilated discs ,Ventilated discs ,ABS (Anti-lock braking system) ,Steering rack and pinion ,Electric Steering ,255/35 R19; 335/30 R20 ,
https://www.auto-data.net/en/koenigsegg-ccx-r-4.8-v8-1032hp-edition-ethanol-25260,CC,CCX,R 4.8 V8 (1032 Hp) Edition Ethanol ,2008,2010.0,Internal Combustion engine ,Targa ,2,2,18.0,22.0,Petrol / Ethanol - E85 ,2.9,2.9,2.8,8.75,410.0,32.0,Euro 4 ,"1.2 kg/Hp, 806.3 Hp/tonne ","1.2 kg/Nm, 843.8 Nm/tonne ",1032 Hp @ 7000 rpm. ,215.0,1080 Nm @ 5600 rpm.,,"Rear, Longitudinal ",4800.0,8,V-engine ,,,9.2,4.0,Multi-point indirect injection ,"Twin-Turbo, Intercooler ",DOHC ,1280.0,120.0,70.0,4293.0,1996.0,1114.0,,100 mm,0.36 ,11.0,The Internal combustion engine (ICE) drives the rear wheels of the vehicle. ,Rear wheel drive ,"6 gears, manual transmission ",Double wishbone ,Double wishbone ,Ventilated discs ,Ventilated discs ,ABS (Anti-lock braking system) ,Steering rack and pinion ,Electric Steering ,255/35 R19; 335/30 R20 ,
https://www.auto-data.net/en/koenigsegg-ccx-r-4.7-v8-1032hp-ethanol-25674,CC,CCX,R 4.7 V8 (1032 Hp) Ethanol ,2008,2010.0,Internal Combustion engine ,Targa ,2,2,18.0,22.0,Petrol / Ethanol - E85 ,3.1,3.1,2.9,8.9,400.0,32.0,Euro 4 ,"1.2 kg/Hp, 806.3 Hp/tonne ","1.2 kg/Nm, 828.1 Nm/tonne ",1032 Hp @ 7000 rpm. ,219.6,1060 Nm @ 5600 rpm.,,"Rear, Longitudinal ",4700.0,8,V-engine ,,,8.8,4.0,Multi-point indirect injection ,"Twin-Turbo, Intercooler ",DOHC ,1280.0,120.0,70.0,4293.0,1996.0,1114.0,,100 mm,0.33 ,11.0,The Internal combustion engine (ICE) drives the rear wheels of the vehicle. ,Rear wheel drive ,"6 gears, manual transmission ",Double wishbone ,Double wishbone ,Ventilated discs ,Ventilated discs ,ABS (Anti-lock braking system) ,Steering rack and pinion ,Electric Steering ,255/35 R19; 335/30 R20 ,
https://www.auto-data.net/en/koenigsegg-ccx-4.8-v8-888hp-edition-25490,CC,CCX,4.8 V8 (888 Hp) Edition ,2008,2010.0,Internal Combustion engine ,Targa ,2,2,13.0,17.0,Petrol (Gasoline) ,3.0,3.0,2.9,9.05,400.0,32.0,Euro 4 ,"1.4 kg/Hp, 693.8 Hp/tonne ","1.4 kg/Nm, 734.4 Nm/tonne ",888 Hp @ 7000 rpm. ,185.0,940 Nm @ 5800 rpm.,,"Rear, Longitudinal ",4800.0,8,V-engine ,,,8.6,4.0,Multi-point indirect injection ,"Twin-Turbo, Intercooler ",DOHC ,1280.0,120.0,70.0,4293.0,1996.0,1114.0,,92-95 mm,0.36 ,11.0,The Internal combustion engine (ICE) drives the rear wheels of the vehicle. ,Rear wheel drive ,"6 gears, manual transmission ",Double wishbone ,Double wishbone ,Ventilated discs ,Ventilated discs ,ABS (Anti-lock braking system) ,Steering rack and pinion ,Electric Steering ,255/35 R19; 335/30 R20 ,
